id,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,host_listing_count,availability_365
2501809,12806055,Daniel,Brooklyn,Lefferts Garden,40.65593684,-73.96318386,Private room,75,1,0,,,1,326
1969192,2973068,Carolina,Brooklyn,Greenpoint,40.73021938,-73.9522394,Entire home/apt,130,2,18,11/17/14,1.4,1,365
3017774,2788488,Musa,Brooklyn,Bedford-Stuyvesant,40.68340802,-73.93966275,Entire home/apt,90,7,7,12/18/14,0.9,2,330
4744663,24489212,Pingping,Manhattan,Midtown,40.74966561,-73.9867884,Entire home/apt,130,1,0,,,1,89
527422,2571265,Mimi,Brooklyn,Bedford-Stuyvesant,40.6799181,-73.93227384,Entire home/apt,190,3,67,12/18/14,2.3,1,364
4262976,9243259,Mia,Manhattan,East Harlem,40.79850498,-73.94206878,Private room,55,1,1,11/7/14,0.5,5,364
4197479,7378802,Arturo,Manhattan,Chinatown,40.71981001,-73.9953738,Entire home/apt,239,5,1,10/27/14,0.4,2,327
855151,3359014,Willson,Manhattan,East Village,40.72716208,-73.98917777,Entire home/apt,133,1,154,12/26/14,6.3,2,354
1562474,8314415,An,Manhattan,Kips Bay,40.74281112,-73.97735099,Private room,95,1,30,11/30/14,1.9,1,30
68774,342374,Thomas,Manhattan,East Village,40.72807092,-73.98533088,Entire home/apt,275,2,69,12/15/14,1.5,1,273
2149854,10454853,Margy,Manhattan,Hell's Kitchen,40.76213377,-73.99376266,Entire home/apt,150,3,0,,,1,213
1641681,8715723,Jacob,Manhattan,Harlem,40.81007318,-73.95537849,Entire home/apt,90,1,52,12/16/14,3.3,2,299
4730063,24425945,Sarah,Brooklyn,Fort Greene,40.68863556,-73.97917417,Private room,85,1,0,,,1,365
468614,1421055,Amber,Manhattan,Morningside Heights,40.8063919,-73.96630672,Entire home/apt,190,1,14,12/9/14,0.7,1,365
4728464,10126892,Emir,Manhattan,East Village,40.72925119,-73.9872623,Private room,75,6,0,,,1,252
68900,343250,Lindner,Brooklyn,Greenpoint,40.73118834,-73.95577888,Entire home/apt,120,3,2,9/23/14,0.6,1,0
4787527,9767363,Roger,Manhattan,East Harlem,40.79637386,-73.93371289,Private room,75,2,0,,,1,365
3083607,12961069,Holly,Manhattan,Hell's Kitchen,40.76408333,-73.98924931,Private room,120,1,0,,,2,358
2045388,10486706,Hope,Manhattan,Hell's Kitchen,40.76186058,-73.99494263,Entire home/apt,250,5,14,10/31/14,1.1,1,365
1844935,9615825,Boki,Manhattan,East Village,40.73262559,-73.98842306,Private room,80,3,20,12/18/14,1.4,3,344
3124456,15870217,Thomas,Manhattan,Harlem,40.80665298,-73.95136929,Entire home/apt,135,5,3,11/2/14,0.5,1,202
2756525,10988400,Jeff,Manhattan,Hamilton Heights,40.82747088,-73.94288712,Private room,60,3,36,12/24/14,4.4,2,210
1445250,5109475,Liam,Brooklyn,Bushwick,40.70443502,-73.92004589,Private room,81,2,21,12/29/14,1.2,1,363
4007643,20779982,Ewa,Brooklyn,Bushwick,40.70095172,-73.92659317,Private room,70,1,5,11/13/14,1.3,2,365
4138718,2811962,Philip,Manhattan,Harlem,40.80462059,-73.95639261,Private room,49,1,9,12/9/14,3.6,2,359
1183172,6436296,Zach,Brooklyn,Prospect Heights,40.67838976,-73.96622514,Entire home/apt,135,4,43,12/13/14,2.2,1,324
752015,3959283,Joss,Manhattan,Hamilton Heights,40.82846544,-73.94162578,Entire home/apt,115,4,18,10/15/14,0.7,1,354
2887135,4370923,Ekaterina,Manhattan,Morningside Heights,40.80897637,-73.96429157,Entire home/apt,160,3,0,,,1,220
4601304,22243476,Sarah,Manhattan,West Village,40.73931247,-74.00199736,Entire home/apt,210,3,1,12/8/14,1,1,344
724455,184110,Kiersten,Manhattan,Harlem,40.79948518,-73.95233456,Private room,75,5,3,12/1/14,0.1,1,333
4263422,21821639,Megan,Manhattan,Hell's Kitchen,40.76131781,-73.99145854,Entire home/apt,150,1,3,11/30/14,1.7,1,0
4335352,3772675,Arthur,Manhattan,West Village,40.73069703,-74.00652683,Entire home/apt,189,2,2,11/29/14,1.2,1,38
4273629,10277002,Erika,Manhattan,Hamilton Heights,40.82487389,-73.95392747,Private room,58,3,1,11/2/14,0.5,1,364
4709333,24334326,Shiho,Manhattan,Midtown East,40.75200139,-73.97158743,Entire home/apt,95,1,0,,,1,6
616290,3054386,Kafi,Manhattan,East Village,40.72937143,-73.98574477,Private room,125,1,66,12/14/14,2.3,1,362
1515692,4358024,Jonathan,Manhattan,Greenwich Village,40.73051402,-73.99517726,Entire home/apt,1000,1,9,11/29/14,0.7,2,336
3629221,5677250,Yscaira,Bronx,Kingsbridge Heights,40.88053939,-73.90002216,Entire home/apt,85,1,3,9/2/14,0.6,1,350
2756202,14098950,Brooklyn,Brooklyn,Crown Heights,40.6769517,-73.94373567,Private room,65,1,0,,,1,242
1117836,3440606,Lewis,Manhattan,East Harlem,40.79983752,-73.93983826,Private room,42,1,70,12/15/14,3.5,1,362
2303798,11765428,Chandler,Manhattan,Flatiron District,40.74018388,-73.98834571,Entire home/apt,1500,1,0,,,1,312
4787866,13978937,Marcelo,Manhattan,Hell's Kitchen,40.76207487,-73.98783637,Entire home/apt,159,3,0,,,1,349
724823,3096202,Jenny,Brooklyn,Bushwick,40.70676189,-73.9210203,Private room,65,1,10,10/28/13,0.4,1,365
2151558,2838861,Runn,Brooklyn,Greenpoint,40.73106744,-73.95712211,Private room,79,7,2,10/1/14,0.2,2,364
